Respondent ID,U.S.A. or International,U.S. East or West Coast,Lake or Sea,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Question 4R
1,U.S.A.,East,Sea,,,,,,,,,,,,,
2,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
3,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,Y,Y,,April - December
4,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,Y,,,April to November
5,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
6,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,,,,April thru September
7,U.S.A.,NaN,Lake,,,,,Y,Y,Y,Y,Y,,,,May to October 
8,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,Y,Y,,April to December
9,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May-October
10,International,NaN,Sea,,,,Y,Y,Y,Y,Y,Y,Y,,,Apr -Nov
11,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
12,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,,,,April -October
13,U.S.A.,Gulf,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
14,U.S.A.,East,Sea,,,,,,,,,,,,,8
15,U.S.A.,West,Sea,,,,,,Y,Y,Y,Y,,,,June 1 through September 30
16,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,Y,Y,,May-Dec
17,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
18,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
19,U.S.A.,NaN,Lake,,,,Y,Y,Y,Y,Y,Y,Y,,,April/Nob
20,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
21,U.S.A.,East,Sea,,,,,,,,,,,,,
22,U.S.A.,East,Sea,,,Y,Y,Y,Y,Y,Y,Y,Y,,,March-November
23,U.S.A.,NaN,Lake,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
24,U.S.A.,NaN,Lake,,,Y,Y,Y,Y,Y,Y,Y,Y,,,April through October
25,U.S.A.,NaN,Lake,,,,,,,,,,,,,8
26,U.S.A.,NaN,Lake,,,,,,,,,,,,,
27,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
28,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
29,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May-October
30,U.S.A.,NaN,Lake,,,,Y,Y,Y,Y,Y,Y,Y,,,April thru Oct
31,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,Y,Y,,Not in Dec - early March
32,U.S.A.,East,Sea,,,,,,Y,Y,Y,,,,,June-august
33,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May - Oct.
34,U.S.A.,East,Sea,,,,,,,,,,,,,
35,International,NaN,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
36,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,Y,,,May-Nov
37,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,,,,April to October
38,U.S.A.,NaN,Lake,,,Y,Y,Y,Y,Y,Y,Y,Y,,,March to November
39,U.S.A.,NaN,Lake,,,,,Y,Y,Y,Y,Y,,,,May to Oct.
40,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
41,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May through September
42,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May to october
43,U.S.A.,East,Sea,,,,,,Y,Y,Y,Y,,,,June-October
44,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,Y,,,May to late October 
45,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,Y,,,May through October
46,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,Y,,,April-November
47,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
48,U.S.A.,East,Sea,,,,,,,,,,,,,
49,U.S.A.,West,Sea,Y,Y,Y,Y,Y,,,,,,Y,Y,outside hurricane season
50,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,Y,,,May - November
51,U.S.A.,West,Sea,,,,Y,Y,Y,Y,Y,Y,Y,,,April-November
52,U.S.A.,East,Sea,,,,,,Y,Y,Y,,,,,June to September 
53,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
54,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
55,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
56,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
57,U.S.A.,NaN,Sea,,,,,Y,Y,Y,Y,Y,,,,May- October 
58,International,East,Sea,,,,Y,Y,Y,Y,Y,Y,,,,April - October
59,U.S.A.,East,Sea,,,,,,,,,,,,,
60,U.S.A.,East,Sea,,,,,,Y,Y,Y,Y,Y,Y,Y,June through December 
61,U.S.A.,East,Sea,,,,,,,,,,,,,
62,International,NaN,Lake,,,,,Y,Y,Y,Y,Y,Y,,,may to november
63,International,NaN,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
64,U.S.A.,West,Sea,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,March thru November
65,U.S.A.,Gulf,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
66,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
67,U.S.A.,East,Sea,,,,,,,,,,,,,6 months
68,International,NaN,Sea,,,,,,,,,,,,,My Sons vacatios
69,International,NaN,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
70,International,NaN,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
71,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,Y,,,May - November
72,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
73,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
74,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May - Oct
75,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
76,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May - Oct.
77,U.S.A.,East,Sea,,,,,,,,,,,,,
78,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May - October
79,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,,,,,May - September
80,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
81,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
82,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
83,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
84,International,NaN,Lake,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
85,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
86,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
87,International,NaN,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
88,International,West,Sea,,,,Y,Y,Y,Y,Y,Y,Y,,,April thru October
89,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,Y,,,May October 
90,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
91,U.S.A.,East,Sea,,,,,,,,,,,,,
92,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
93,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,Y,Y,,April through November
94,U.S.A.,Gulf,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
95,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May-October
96,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
97,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,,,,April to October
98,U.S.A.,West,Sea,,,,,,,,,,,,,Six months
99,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
100,NaN,NaN,NaN,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
101,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
102,International,NaN,Sea,,,,,,,,,,,,,In the US half the year
103,U.S.A.,West,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
104,U.S.A.,Gulf,Sea,,,,,,,,,,,,,
105,U.S.A.,NaN,Lake,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,(Ice-free boating only)
106,U.S.A.,NaN,Lake,,,,,Y,Y,Y,Y,Y,Y,,,May - November
107,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
108,U.S.A.,West,Sea,,,,,,,Y,Y,Y,,,,July-October
109,U.S.A.,East,Sea,,,,,,Y,Y,Y,Y,,,,Summer months
110,U.S.A.,West,Sea,,,,,,,,,,,,,
111,U.S.A.,West,Sea,,,,,Y,Y,Y,Y,Y,,,,May to October
112,U.S.A.,East,Sea,,,,,,,,,,,,,
113,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,Y,,,5-11
114,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
115,U.S.A.,East,Sea,,,,Y,Y,Y,Y,Y,Y,Y,,,Spring summer fall
116,U.S.A.,East,Sea,,,,,,,,,,,,,
117,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,,,,,May-september
118,NaN,NaN,NaN,,,,,Y,Y,Y,Y,,,,,May to September
119,U.S.A.,West,Sea,,,,,,Y,Y,Y,Y,,,,Summer
120,NaN,NaN,NaN,,,,,Y,Y,Y,Y,Y,,,,May-oct
121,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May-October 
122,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
123,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
124,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,May through October
125,U.S.A.,West,Sea,,,,,,Y,Y,Y,Y,,,,Summer
126,U.S.A.,East,Sea,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
127,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,Y,,,,may-October 
128,U.S.A.,East,Sea,,,,,Y,Y,Y,Y,,,,,May - September
