Respondent ID,Collector ID,Start Date,End Date,IP Address,Do you give your consent to participate inÂ the following study?,"Where is your local port (City, State)?","When you go out on your boat, about how long do you typically go out for?",,Do you use your boat year round?,,Do you have depth sounding equipment or a fish finder?,,Do you have a GPS on your vessel?,,Do you have an AIS unit?,,What do you use for navigation?Â (select all that apply),,,,,,Do you pay for your navigation service?,,"If you have a smartphone or tablet, do you always have it on the boat with you?",Would you be willing to share location information from your phone/tablet or other navigation system?,What would you prefer?,What method of data delivery would you be most likely to use?,Would you be willing to slightly detourÂ toÂ collect data if a site of interest showed up along your route?,"Would you beÂ willing toÂ go to locations where data is needed, even if they were out of your way?",What is the maximum distanceÂ you would be willing to travel out of the way to collect data?,,What sort of incentives would motivate you to collect this crowd-sourced data? (select all that apply),,,,,,,,,"Of these listed, which incentive would most interest you? (Insert Number)","Would you be willing to pay a small fee, if in exchange youÂ received new hardware, local seafloor data, or the incentive of your choice?","Of these, for which wouldÂ you most likely pay a small fee?",,"Do you have any concerns about participating in this crowd data collection? If so, please provide a description of your concerns so that we can address them."
,,,,,Response,Open-Ended Response,Response,Other (please specify),Response,"If No, specify months in use:",Response,"If so, what model?",Response,"If so, what model?",Response,"If Yes, which class of AIS?",Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,None of the Above,"Please specify which app, software, or plotter you use:",Response,How much?,Response,Response,Response,Response,Response,Response,Response,Other (please specify),(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,"(5) The ability to gain and increase reputation: e.g. the better data you collect, the higher reputation score you receive","(6) The chance to become ""Citizen Hydrographer of the Month"" complete with a letter of recognition","(7) A game-like environmentÂ for data-collection, such as collecting ""virtual loot"" or discovering virtualÂ lands.",(8) Small monetary rewards for certain tasks,Other (please specify),Open-Ended Response,Response,Response,Incentive of your choice:,Open-Ended Response
6507226895,153009003,11/08/2017 06:40:27 PM,11/08/2017 06:54:50 PM,67.44.208.108,Yes,"Atlantic, North Carolina ",An entire day,,No,,Yes,Garmin Echo map 54,Yes,Garmin Echo map 54,No,,,,Paper Charts,GPS Chart Plotter,,Garmin Echo map 54,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,2,Yes,New hardware,,Would need new depth sounder that transfers data easier. 
6506263368,153009003,11/08/2017 12:40:31 PM,11/08/2017 12:46:07 PM,76.218.254.185,Yes,"San Francisco, California, U.S.A",Overnight trips,,Yes,,Yes,,Yes,Garmin,Yes,B,Phone or Tablet Application,Navigational Software on Laptop,,,,Coastal Explorer and Navionics,Yes,Initial purchase of applications $50-$100,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Automatic upload from smartphone or other unit,Yes,Yes,1Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,(4) A social network of mariners working together for science and safety of navigation,,,,,,1,Yes,Updated data for your local area,,
6505703774,153009003,11/08/2017 09:40:42 AM,11/08/2017 09:45:19 AM,73.149.37.113,Yes,"Mystic, CT",A few hours,,No,April - December,Yes,Garmin,Yes,Garmin,Yes,Raymarine,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,"Navionics, Garmin plotter",Yes,$24.99 annual,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,,"(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,(8) Small monetary rewards for certain tasks,,Small monetary reward,No,,,
6505615485,153009003,11/08/2017 09:10:22 AM,11/08/2017 09:16:07 AM,70.208.81.159,Yes,South Toms River NJ,A few hours,,No,April to November,Yes,Depth finder unknown brans,Yes,Garmin older model at least 10 years old,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,5Â nm,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,3,,Yes,New hardware,,
6498146643,153009003,11/05/2017 08:59:04 AM,11/05/2017 09:10:24 AM,73.71.16.18,Yes,"Isleton, California ",Overnight trips,,Yes,,Yes,,Yes,,No,,Phone or Tablet Application,,Paper Charts,,,Navionics on iPad ,Yes,$50/year,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,Yes,5Â nm,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,2,Yes,Updated data for your local area,,"My boating is in the Sacramento-San Joaquin Delta, not any bay or ocean areas so I don't know if my data would apply to your study. "
6493105340,153009003,11/02/2017 11:13:42 AM,11/02/2017 11:25:31 AM,70.169.21.12,Yes,"Norfolk, VA",An entire day,,No,April thru September,Yes,Standard Horizon depth sounder - model unknowm,Yes,Garmin GPSMAP 620,Yes,Uniden Oceanus DSC,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,Yes,Approx $99 per updated map for my Garmin GPSMAP 620,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,It would depend on the situation.,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,3,Yes,Updated data for your local area,Both,"I do not go boating as often as I would like. I am not sure I could provide much input, but would still like to participate if possible."
6492831817,153009003,11/02/2017 09:36:57 AM,11/02/2017 09:45:51 AM,107.77.206.195,Yes,"Milwaukee, WI",Overnight trips,,No,May to October ,Yes,,Yes,Garmin 2716xvs,Yes,Class a,,,Paper Charts,GPS Chart Plotter,,Garmin,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,No,,,(1) The chance to increase the knowledge of our local ports and harbors,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",(4) A social network of mariners working together for science and safety of navigation,,,,,,3,Yes,New hardware,,
6492779379,153009003,11/02/2017 09:17:50 AM,11/02/2017 09:23:24 AM,70.161.174.39,Yes,"Gloucester Point, VA",A few hours,,No,April to December,Yes,Garmin Chartplotter,Yes,Garmin Chartplotter ,No,,,,Paper Charts,GPS Chart Plotter,,,No,,Yes,Yes,To actively participate with data collection (to viewÂ theÂ seafloor data being acquired on your phone/tablet or other unit),Manual upload from smartphone or other unit,It would depend on the situation.,No,,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)",,,,,,,,2,Yes,New hardware,,
6492433280,153009003,11/02/2017 06:01:22 AM,11/02/2017 06:06:42 AM,24.191.120.153,Yes,"Chelsea, NY",An entire day,,No,May-October,Yes,B&G,No,,No,,Phone or Tablet Application,,Paper Charts,,,,No,,Yes,Yes,"Or, an option to switch between background collectionÂ and active participation",Manual upload from smartphone or other unit,Yes,Yes,1Â nm,,,"(2) Updated data, such as notification of changes in bottom depths, navigational hazards or habitat information (such as gridded seafloor maps)","(3) A streamlined app that incorporates navigation, tidal data, as well as current navigational hazards",,,,,,,2,No,,,
