,Survey Response,Latitude,Longitude
1,"Atlantic, North Carolina ",34.8848864,-76.3404708
2,"San Francisco, California, U.S.A",37.7959257,-122.4067327
3,"Mystic, CT",41.3542656,-71.966462
4,South Toms River NJ,39.9420625,-74.2043082
5,"Isleton, California ",38.1618614,-121.6116206
6,"Norfolk, VA",36.8889933,-76.2481624
7,"Milwaukee, WI",43.0349931,-87.922497
8,"Gloucester Point, VA",37.2540351,-76.496899
9,"Chelsea, NY",40.6006596,-74.1948665
10,"Southampton, Hants",50.91135005,-1.43348834608196
11,"Bainbridge Island, WA",47.6262626,-122.5204513
12,New Bedford Ma.,41.6362152,-70.934205
13,"Kemah,Texas",29.5427297,-95.0204837
14,"Niantic, CT",41.3253756,-72.1931338
15,"Oak Harbor, WA",48.2931559,-122.6432245
16,"Deltaville, Virginia",37.5548568,-76.3368883
17,"Wilmington, NC",34.2257282,-77.9447107
18,"Ponce Inlet, Florida",29.0963729,-80.9369983
19,"Bullfrog, UT",37.5157797,-110.7295477
20,"Everett, WA",47.9673056,-122.2013998
21,"Newport, RI",41.4899827,-71.3137707
22,"Rock Hall, Maryland",39.2687133,-77.5260987
23,"Phoenix, Arizona",33.4485866,-112.0773456
24,"Monroe, MI",41.9145037,-83.3968252
25,Catawba Island OH,41.564217,-82.8396329
26,Burlington vermont,44.4723989,-73.2114941
27,"King George, VA",38.2786312,-77.175356
28,"Urbanna, VA",37.6376421,-76.5744009
29,"Wareham, MA",41.7626037,-70.7217017
30,"Milwaukee, Wi",43.0349931,-87.922497
31,"Annapolis, MD",38.9786401,-76.492786
32,"York, Maine",43.1659436,-70.6350963839679
33,Salem MA,42.5195292,-70.8967226
34,"Boothbay Harbor, Maine",43.8522661,-69.6280897
35,"East London, South Africa",-33.0191604,27.8998573
36,Sayville New York,40.7359317,-73.0820556
37,"Virginia Beach, VA",36.7953025,-76.0509251225811
38,Alburgh Vermont,44.9317885,-73.285747971489
39,Chicago Il.,41.8755546,-87.6244212
40,"Yuba City, CA",39.1404477,-121.6169108
41,"Rockland, Maine",44.104352,-69.108124
42,"South Portland, Maine",43.6414716,-70.2408811
43,"Mount Sinai, NY",40.6186724,-73.9429742835031
44,"Durham, NH",43.134564,-70.927048
45,"Rockport, Maine",44.1845236,-69.0761491
46,"Annapolis, MD",38.9786401,-76.492786
47,"Brunswick, GA",31.1499528,-81.4914894
48,"Portland, Maine",43.6610277,-70.2548596
49,Hilo Hawaii,19.5895269,-155.448868890557
50,"Rock Hall, MD",39.2687133,-77.5260987
51,"Olympia, WA",47.0450197,-122.8948725
52,"Portland, Maine",43.6610277,-70.2548596
53,"Rockland, Maine",44.104352,-69.108124
54,"Georgetown, Maine ",44.6353544,-67.8258338
55,Sugar Barge Bethel Island California,38.0253526,-121.6160426
56,"Miami Beach, Florida",25.7881436,-80.1272705
57,Falmouth ma,41.5514979,-70.6147519
58,"Copenhagen, Denmark",55.6867243,12.5700724
59,"Philadelphia, PA",39.9523993,-75.1635899
60,"New Gretna, NJ ",39.5923404,-74.450983
61,Hyannis ma,41.651513,-70.2825918
62,"st Catharines, Ontario",43.167376,-79.241638
63,"sogne, Norway",57.978568,7.86298218350915
64,"Oakland, California",37.8044557,-122.2713563
65,"St. Petersburg, Fl",27.7703796,-82.6695085
66,Dana Point California,33.4669721,-117.6981075
67,"Davis Wharf, VA",37.5529108,-75.8779878
68,Cartagena Colombia ,10.4195841,-75.5271224
69,"Sydney, Australia",-33.8548157,151.2164539
70,"Cork, Ireland",51.8979282,-8.4705806
71,Falmouth ma,41.5514979,-70.6147519
72,"Delray Beach, FL",26.4614625,-80.0728201
73,"Long Beach, California",33.78538945,-118.158049315311
74,"Centerville, MA",41.649013,-70.3481183
75,"Kodiak, AK",57.79,-152.4072222
76,"Norwalk, CT",41.1175966,-73.4078968
77,"Gloucester, MA",42.6159286,-70.6619888
78,"Woods Hole, MA",41.5239468,-70.6694293
79,"Forked River, New Jersey",39.8398413,-74.1901399
80,"Annapolis, Maryland",38.9786401,-76.492786
81,"marina del rey, ca",36.9225615,-121.8517849
82,"Honolulu, Hawaii",21.304547,-157.8556764
83,"Stockton, California ",37.9577016,-121.2907796
84,"Geneva, Switzerland",46.2017559,6.1466014
85,"Charleston, SC",32.7876012,-79.9402728
86,San Diego,32.7174209,-117.1627714
87,"Bridgetown, Barbados",13.0977832,-59.6184184
88,Sidney BC Canada,48.6505788,-123.3983246
89,Newport ri,41.4899827,-71.3137707
90,"Alameda, California",37.7652076,-122.2416355
91,port washington ny,40.8256561,-73.6981858
92,"Fort Lauderdale, Florida",26.1223084,-80.1433786
93,"Annapolis, MD",38.9786401,-76.492786
94,"Crystal River, Florida",28.902479,-82.5926012
95,Newport RI,41.4899827,-71.3137707
96,"Jamestown, RI",41.4970465,-71.3672755
97,"Osterville, MA",41.6293398,-70.3866806
98,"Astoria, Oregon",46.187885,-123.831256
99,"Fort Lauderdale, FL",26.1223084,-80.1433786
100,St. Augustine Florida,29.8946952,-81.3145395
101,"Savusavu, Fiji",-16.7802184,179.3328955
102,"Seattle, WA",47.6038321,-122.3300624
103,Seabrook,29.5633199,-95.019723
104,"Burlington, VT",44.4723989,-73.2114941
105,Charlotte VT,44.3096989,-73.2545441
106,"Kittery, Maine",43.088448,-70.736847
107,"Kenmore, WA",47.7573202,-122.2440148
108,"Dover, NH",43.198057,-70.8739158
109,"Deer Harbor, WA",48.6201159,-123.0009049
110,"Bellingham, WA",48.754402,-122.4788602
111,"Greenport, NY",41.09971395,-72.3631363923228
112,Woods hole,41.5239468,-70.6694293
113,"Woods Hole, MA",41.5239468,-70.6694293
114,"Woods Hole, MA",41.5239468,-70.6694293
115,"woods hole, ma",41.5239468,-70.6694293
116,"Falmouth, MA",41.5514979,-70.6147519
117,"Seattle, Washington",47.6038321,-122.3300624
118,"Durham, NH",43.134564,-70.927048
119,"Philadelphia, PA",39.9523993,-75.1635899
120,"Alexandria, VA",38.8147596,-77.0902476527272
121,"Charleston, SC",32.7876012,-79.9402728
122,"Woods Hole, MA",41.5239468,-70.6694293
123,"Seattle, WA",47.6038321,-122.3300624
124,"Charleston, SC",32.7876012,-79.9402728
125,"Newmarket, NH",43.2778549,-71.8734139
126,"Newport, RI",41.4899827,-71.3137707
