Respondent ID,U.S.A. or International,U.S. East or West Coast,Lake or Sea,Question 2,Question 3,Question 3R,Question 4,Question 4R,Question 5,Question 5R,Question 5 Add,Question 5 Add2,Question 6,Question 6P,Question 6P2,Question 6P3,Question 6R,Question 7,Question 7R,Question 8S1,Question 8S2,Question 8S3,Question 8S4,Question 8S5,Question 8P1,Question 8P2,Question 8P3,Question 8R,Question 9,Question 9P1,Question 9P2,Question 9R,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 16R,Question 17S1,Question 17S2,Question 17S3,Question 17S4,Question 17S5,Question 17S6,Question 17S7,Question 17S8,Question 17R,Question 18P1,Question 18P2,Question 19,Question 20,Question 20 Response,Question 21
1,U.S.A.,East,Sea,"Atlantic, North Carolina ",An entire day,,No,,Yes,Garmin Echo map 54,Garmin,,Yes,Garmin,,,Garmin Echo map 54,No,,,,Paper Charts,GPS Chart Plotter,,Garmin BlueChart,,,Garmin Echo map 54,No,,,,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,Yes,New hardware,,Would need new depth sounder that transfers data easier. 
2,U.S.A.,West,Sea,"San Francisco, California, U.S.A",Overnight trips,,Yes,,Yes,,,,Yes,Garmin,,,Garmin,Yes,B,Phone or Tablet Application,Navigational Software on Laptop,,,,Coastal Explorer,Navionics,,Coastal Explorer and Navionics,Yes,One time,50 - 100,Initial purchase of applications $50-$100,Yes,Yes,Option to switch,Automatic upload,Yes,Yes,1 nm,,Increased Knowledge,Updated Data,,Social Network,,,,,,1,,Yes,Updated data,,
3,U.S.A.,East,Sea,"Mystic, CT",A few hours,,No,April - December,Yes,Garmin,Garmin,,Yes,Garmin,,,Garmin,Yes,Raymarine,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,Navionics,Garmin BlueChart,,"Navionics, Garmin plotter",Yes,Annually,0 - 25,$24.99 annual,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,,Streamlined Navigational App,,,,,Monetary Reward,,8,,No,,,
4,U.S.A.,East,Sea,South Toms River NJ,A few hours,,No,April to November,Yes,Depth finder unknown brans,,,Yes,Garmin,,,Garmin older model at least 10 years old,No,,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,5 nm,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,3,,,Yes,New hardware,,
5,U.S.A.,West,Sea,"Isleton, California ",Overnight trips,,Yes,,Yes,,,,Yes,,,,,No,,Phone or Tablet Application,,Paper Charts,,,Navionics,,,Navionics on iPad ,Yes,Annually,50 - 100,$50/year,Yes,Yes,Option to switch,Manual upload,It would depend.,Yes,5 nm,,,Updated Data,Streamlined Navigational App,Social Network,,,,,,2,,Yes,Updated data,,"My boating is in the Sacramento-San Joaquin Delta, not any bay or ocean areas so I don't know if my data would apply to your study. "
6,U.S.A.,East,Sea,"Norfolk, VA",An entire day,,No,April thru September,Yes,Standard Horizon depth sounder - model unknowm,Standard Horizon,,Yes,Garmin,,,Garmin GPSMAP 620,Yes,Uniden Oceanus DSC,Phone or Tablet Application,,Paper Charts,GPS Chart Plotter,,,,,,Yes,One time,50 - 100,Approx $99 per updated map for my Garmin GPSMAP 620,Yes,Yes,Option to switch,Manual upload,It would depend.,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,Yes,Either,Both,"I do not go boating as often as I would like. I am not sure I could provide much input, but would still like to participate if possible."
7,U.S.A.,NaN,Lake,"Milwaukee, WI",Overnight trips,,No,May to October ,Yes,,,,Yes,Garmin,,,Garmin 2716xvs,Yes,Class a,,,Paper Charts,GPS Chart Plotter,,Garmin BlueChart,,,Garmin,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,No,NaN,,Increased Knowledge,Updated Data,Streamlined Navigational App,Social Network,,,,,,3,,Yes,New hardware,,
8,U.S.A.,East,Sea,"Gloucester Point, VA",A few hours,,No,April to December,Yes,Garmin Chartplotter,Garmin,,Yes,Garmin,,,Garmin Chartplotter ,No,,,,Paper Charts,GPS Chart Plotter,,,,,,No,,,,Yes,Yes,Active data collection,Manual upload,It would depend.,No,NaN,,,Updated Data,,,,,,,,2,,Yes,New hardware,,
9,U.S.A.,East,Sea,"Chelsea, NY",An entire day,,No,May-October,Yes,B&G,B & G,,No,,,,,No,,Phone or Tablet Application,,Paper Charts,,,,,,,No,,,,Yes,Yes,Option to switch,Manual upload,Yes,Yes,1 nm,,,Updated Data,Streamlined Navigational App,,,,,,,2,,No,,,
10,International,NaN,Sea,"Southampton, Hants",Overnight trips,,No,Apr -Nov,Yes,B&G,B & G,,Yes,Garmin,,,Garmin,Yes,B,Phone or Tablet Application,Navigational Software on Laptop,Paper Charts,GPS Chart Plotter,,OpenCPN,,,OpenCPN on Raspberry Pi and Laptop & Tablet,No,,,,Yes,No,Active data collection,Mail in thumb drive,It would depend.,No,NaN,,,,Streamlined Navigational App,,,,,,,3,,No,,,
