"Of these listed, which incentive would most interest you? (Insert Number)"

Respondents,Response Date,Responses,Categories

1,Nov 08 2017 06:53 PM,2,
2,Nov 08 2017 12:46 PM,1,
3,Nov 08 2017 09:45 AM,Small monetary reward,
4,Nov 05 2017 09:09 AM,2,
5,Nov 02 2017 11:23 AM,3,
6,Nov 02 2017 09:45 AM,3,
7,Nov 02 2017 09:23 AM,2,
8,Nov 02 2017 06:06 AM,2,
9,Nov 02 2017 05:02 AM,3,
10,Nov 02 2017 12:12 AM,2,
11,Nov 01 2017 10:38 PM,5,
12,Nov 01 2017 06:22 PM,6,
13,Nov 01 2017 05:53 PM,2 or 3,
14,Nov 01 2017 05:44 PM,3,
15,Nov 01 2017 05:16 PM,4,
16,Nov 01 2017 04:35 PM,2,
17,Nov 01 2017 01:28 PM,More local knowledge ,
18,Nov 01 2017 11:30 AM,1,
19,Nov 01 2017 09:38 AM,1,
20,Nov 01 2017 09:07 AM,4,
21,Nov 01 2017 09:00 AM,Helping make boating safer.,
22,Nov 01 2017 08:31 AM,3,
23,Nov 01 2017 07:58 AM,2,
24,Nov 01 2017 06:22 AM,1,
25,Nov 01 2017 06:12 AM,2 or 3,
26,Oct 25 2017 11:22 AM,Hard to say,
27,Aug 01 2017 09:44 PM,2,
28,Jul 25 2017 12:30 PM,1,
29,Jul 22 2017 03:56 PM,2,
30,Jun 27 2017 08:43 AM,2,
31,Jun 23 2017 09:35 AM,3,
32,Jun 09 2017 08:29 AM,#2,
33,Jun 07 2017 05:59 PM,"1,3",
34,Jun 06 2017 02:43 PM,8 / Other,
35,Jun 06 2017 12:35 PM,3,
36,Jun 03 2017 06:20 PM,3,
37,Jun 02 2017 03:06 PM,3,
38,Jun 02 2017 01:07 PM,1,
39,Jun 01 2017 10:00 PM,2,
40,Jun 01 2017 09:12 PM,2,
41,Jun 01 2017 04:53 PM,4,
42,Jun 01 2017 02:29 PM,2,
43,Jun 01 2017 10:35 AM,Number 2,
44,Jun 01 2017 10:26 AM,3,
45,Jun 01 2017 09:49 AM,1,
46,Jun 01 2017 09:41 AM,Improved nav data,
47,Jun 01 2017 09:35 AM,2,
48,May 30 2017 09:37 PM,recognition,
49,May 27 2017 11:30 PM,2,
50,May 18 2017 09:54 PM,Monetary ,
51,May 18 2017 04:18 PM,3,
52,May 17 2017 01:09 AM,2,
53,May 16 2017 11:39 AM,3,
54,May 16 2017 07:43 AM,8,
55,May 16 2017 05:00 AM,3,
56,May 16 2017 12:19 AM,8,
57,May 15 2017 07:50 PM,3 5,
58,May 15 2017 07:28 PM,2,
59,May 15 2017 07:27 PM,increase knowledge of ports,
60,May 15 2017 06:33 PM,2,
61,May 15 2017 05:41 PM,3,
62,May 15 2017 05:40 PM,3,
63,May 15 2017 05:40 PM,2,
64,May 15 2017 05:33 PM,8,
65,May 15 2017 05:03 PM,8,
66,May 15 2017 07:26 AM,1,
67,May 07 2017 02:19 PM,1&2,
68,May 03 2017 10:05 AM,4,
69,May 02 2017 09:10 AM,2,
70,May 01 2017 01:42 PM,7,
71,Apr 21 2017 07:57 AM,(1),
72,Apr 17 2017 12:40 PM,1,
73,Apr 14 2017 08:34 PM,2,
74,Apr 14 2017 05:36 PM,2,
75,Apr 14 2017 03:54 PM,Cloud-Hydrographing would fnaly yield a map of Lake Geneva,
76,Apr 14 2017 08:31 AM,1,
77,Apr 14 2017 05:05 AM,1,
78,Apr 13 2017 01:44 PM,4,
79,Apr 13 2017 12:59 PM,3,
80,Apr 13 2017 10:54 AM,3,
81,Apr 13 2017 10:25 AM,3,
82,Apr 13 2017 07:31 AM,6,
83,Apr 13 2017 02:54 AM,3,
84,Apr 12 2017 10:55 PM,Updated current electronic charts,
85,Apr 12 2017 10:35 PM,2,
86,Apr 12 2017 09:08 PM,Other,
87,Apr 12 2017 09:04 PM,1,
88,Apr 12 2017 04:02 PM,3,
89,Apr 12 2017 03:54 PM,1,
90,Apr 12 2017 02:45 PM,2,
91,Apr 12 2017 01:55 PM,1,
92,Apr 11 2017 02:17 PM,1,
93,Apr 09 2017 07:00 AM,2,
94,Mar 30 2017 08:51 AM,2,
95,Mar 29 2017 07:05 PM,3,
96,Mar 22 2017 03:13 PM,2,
97,Mar 07 2017 09:24 PM,3,
98,Mar 07 2017 04:41 PM,3,
99,Mar 07 2017 04:31 PM,2,
100,Mar 07 2017 04:29 PM,7,
101,Mar 06 2017 04:00 PM,the second choice,
102,Mar 04 2017 10:30 PM,Honestly Citizen Hydrographer of the month made me laugh but I would totally love that,
103,Mar 04 2017 09:34 PM,updated data,
104,Mar 04 2017 03:23 PM,Increase knowledge of ports and harbors ,
105,Mar 03 2017 09:41 PM,increase knowledge,
106,Feb 23 2017 09:01 AM,"a streamlined app, a game",
107,Feb 09 2017 12:37 PM,To have updated data,

