"Where is your local port (City, State)?"

Respondents,Response Date,Responses,Categories

1,Nov 10 2017 05:18 PM,"Pasadena, md",
2,Nov 08 2017 09:31 PM,"Haverstraw,  NY",
3,Nov 08 2017 06:50 PM,"Atlantic, North Carolina ",
4,Nov 08 2017 12:45 PM,San Francisco,
5,Nov 08 2017 09:43 AM,"Mystic, CT",
6,Nov 08 2017 09:13 AM,South Toms River NJ,
7,Nov 05 2017 09:07 AM,"Isleton, California ",
8,Nov 02 2017 08:06 PM,"Laconia,NH",
9,Nov 02 2017 11:21 AM,"Norfolk, VA",
10,Nov 02 2017 09:41 AM,"Milwaukee, WI",
11,Nov 02 2017 09:21 AM,"Gloucester Point, VA",
12,Nov 02 2017 08:24 AM,Pasadena Maryland,
13,Nov 02 2017 07:00 AM,08735,
14,Nov 02 2017 06:04 AM,"Chelsea, NY",
15,Nov 02 2017 05:00 AM,"Southampton, Hants",
16,Nov 02 2017 12:07 AM,"Bainbridge Island, WA",
17,Nov 02 2017 12:03 AM,"Bainbridge Island, WA",
18,Nov 01 2017 10:35 PM,New Bedford Ma.,
19,Nov 01 2017 06:34 PM,"Key West, fl ",
20,Nov 01 2017 06:18 PM,"Kemah,Texas",
21,Nov 01 2017 06:10 PM,"Edgewater, MD",
22,Nov 01 2017 05:51 PM,"Niantic, CT",
23,Nov 01 2017 05:42 PM,"Oak Harbor, WA",
24,Nov 01 2017 05:14 PM,"Deltaville, Virginia",
25,Nov 01 2017 04:33 PM,"Wilmington, NC",
26,Nov 01 2017 04:22 PM,"Ponce Inlet, Florida",
27,Nov 01 2017 04:20 PM,"Bullfrog, UT",
28,Nov 01 2017 01:25 PM,"Everett, WA",
29,Nov 01 2017 11:28 AM,"Newport, RI",
30,Nov 01 2017 09:43 AM,"Annapolis, MD",
31,Nov 01 2017 09:35 AM,"Sacramento, CA",
32,Nov 01 2017 09:04 AM,"Rock Hall, Marylan",
33,Nov 01 2017 08:56 AM,"Phoenix, Arizona.  Yes we have water here.z%§",
34,Nov 01 2017 08:28 AM,"Monroe, MI",
35,Nov 01 2017 07:56 AM,Catawba Island OH,
36,Nov 01 2017 07:54 AM,Burlington vermont,
37,Nov 01 2017 07:47 AM,"King George, VA",
38,Nov 01 2017 07:24 AM,"Hague, VA",
39,Nov 01 2017 07:11 AM,"Key West, FL",
40,Nov 01 2017 06:20 AM,"Urbana, VA",
41,Nov 01 2017 06:10 AM,"Wareham, MA",
42,Nov 01 2017 05:07 AM,"Milwaukee, Wi",
43,Oct 25 2017 11:18 AM,"Annapolis, MD",
44,Aug 01 2017 09:40 PM,"York, me",
45,Jul 25 2017 12:29 PM,Salem MA,
46,Jul 22 2017 03:54 PM,"Boothbay Harbor,ME",
47,Jun 30 2017 09:28 AM,East London ,
48,Jun 27 2017 02:26 PM,"Smithtown, NY",
49,Jun 27 2017 08:41 AM,Sayville New York,
50,Jun 23 2017 09:33 AM,"Virginia Beach, VA",
51,Jun 09 2017 08:27 AM,Alburgh Vermont,
52,Jun 07 2017 05:56 PM,Chicago Il.,
53,Jun 06 2017 02:40 PM,"Yuba City, CA",
54,Jun 06 2017 12:33 PM,"Rockland, Maine",
55,Jun 04 2017 06:55 PM,"White bear lake, mn",
56,Jun 03 2017 06:17 PM,"South Portland, Maine",
57,Jun 02 2017 03:05 PM,"Mount Sinai, NY",
58,Jun 02 2017 01:03 PM,"Adams Point, Great Bay, Durham, NH",
59,Jun 01 2017 09:57 PM,"Rockport, Me",
60,Jun 01 2017 09:10 PM,"Annapolis, MD",
61,Jun 01 2017 04:51 PM,"Brunswick, GA",
62,Jun 01 2017 02:59 PM,"Portland, ME",
63,Jun 01 2017 02:26 PM,Hilo Hawaii,
64,Jun 01 2017 10:34 AM,"Rock Hall, MD",
65,Jun 01 2017 10:22 AM,"Olympia, WA",
66,Jun 01 2017 09:47 AM,ME,
67,Jun 01 2017 09:40 AM,Rockland Maine,
68,Jun 01 2017 09:32 AM,"Georgetown, Maine ",
69,May 30 2017 09:35 PM,Sugar Barge Bethel Island California,
70,May 27 2017 11:28 PM,"Miami Beach, Florida",
71,May 18 2017 09:53 PM,Falmouth ma,
72,May 18 2017 04:13 PM,"Copenhagen, Denmark",
73,May 17 2017 01:07 AM,"Phila., PA",
74,May 16 2017 11:34 AM,"New Gretna, NJ (on the Bass River)",
75,May 16 2017 07:42 AM,Hyannis ma,
76,May 16 2017 06:29 AM,"st Catharines, onatrio, canada",
77,May 16 2017 04:57 AM,"søgne, Norway",
78,May 16 2017 12:17 AM,"Oakland, CA",
79,May 15 2017 07:47 PM,"St. Petersburg, Fl",
80,May 15 2017 07:26 PM,Dana Point California,
81,May 15 2017 07:25 PM,"Davis Wharf, VA",
82,May 15 2017 07:23 PM,Cartagena Colombia ,
83,May 15 2017 06:29 PM,East Coast Australia,
84,May 15 2017 05:39 PM,Falmouth ma,
85,May 15 2017 05:38 PM,"Delray Beach, FL",
86,May 15 2017 05:38 PM,Cork ,
87,May 15 2017 05:32 PM,Long Beach ca,
88,May 15 2017 05:02 PM,"Centerville, MA",
89,May 15 2017 07:24 AM,"Kodiak, AK",
90,May 07 2017 02:14 PM,"Norwalk, CT",
91,May 03 2017 10:34 AM,Gloucester MA,
92,May 03 2017 10:01 AM,"Gloucester, MA",
93,May 02 2017 09:06 AM,"Woods Hole, MA",
94,May 01 2017 01:40 PM,"Forked River, New Jersey",
95,Apr 21 2017 07:56 AM,"Annapolis, Maryland",
96,Apr 17 2017 12:37 PM,"marina del rey, ca",
97,Apr 14 2017 08:31 PM,"Honolulu, Hawaii",
98,Apr 14 2017 05:33 PM,"Stockton, California ",
99,Apr 14 2017 03:51 PM,Lake Geneva Swtizerland,
100,Apr 14 2017 08:29 AM,"Charleston, SC",
101,Apr 14 2017 05:03 AM,San Diego,
102,Apr 13 2017 01:43 PM,"Bridgetown, Barbados",
103,Apr 13 2017 01:15 PM,Pensacola FL,
104,Apr 13 2017 12:56 PM,Sidney BC Canada,
105,Apr 13 2017 12:17 PM,Newport ri,
106,Apr 13 2017 10:51 AM,"Alameda, CA",
107,Apr 13 2017 10:44 AM,"Toronto, Ontario",
108,Apr 13 2017 10:23 AM,port washington ny,
109,Apr 13 2017 09:25 AM,Jamestown RI,
110,Apr 13 2017 07:30 AM,"Fort Lauderdale, Florida",
111,Apr 13 2017 02:51 AM,"Annapolis, MD",
112,Apr 12 2017 10:53 PM,"Crystal River, Florida",
113,Apr 12 2017 10:33 PM,Newport RI,
114,Apr 12 2017 09:07 PM,"Jamestown, RI",
115,Apr 12 2017 09:03 PM,"Osterville, MA",
116,Apr 12 2017 05:07 PM,"Astoria, Oregon",
117,Apr 12 2017 03:56 PM,"Fort Lauderdale, FL",
118,Apr 12 2017 03:52 PM,Full time cruiser - no home port,
119,Apr 12 2017 02:42 PM,St. Augustine Florida,
120,Apr 12 2017 01:54 PM,"Savusavu, Fiji",
121,Apr 12 2017 01:36 PM,"Newport, RI",
122,Apr 11 2017 02:13 PM,"Seattle, WA",
123,Apr 09 2017 06:58 AM,"Burlington, VT",
124,Apr 04 2017 09:46 PM,Seabrook,
125,Apr 03 2017 09:44 AM,"Skip, IT",
126,Mar 30 2017 08:48 AM,Charlotte VT      (near Burlington on Lake Champlain),
127,Mar 29 2017 07:03 PM,"Kittery, ME",
128,Mar 29 2017 03:07 PM,"Kenmore, WA",
129,Mar 29 2017 02:30 PM,"Dover, NH",
130,Mar 22 2017 05:20 PM,"Deer Harbor, WA",
131,Mar 22 2017 03:11 PM,"Bellingham, WA",
132,Mar 07 2017 09:22 PM,"Greenport, NY",
133,Mar 07 2017 04:38 PM,Woods hole,
134,Mar 07 2017 04:29 PM,"Woods Hole, MA",
135,Mar 07 2017 04:27 PM,"Woods Hole, MA",
136,Mar 06 2017 03:38 PM,"woods hole, ma",Second Gen
137,Mar 05 2017 04:51 PM,"Falmouth, MA",Second Gen
138,Mar 04 2017 09:32 PM,"Seattle, Washington",Second Gen
139,Mar 04 2017 06:21 PM,"Philadelphia, PA",Second Gen
140,Mar 04 2017 03:18 PM,"Durham, NH",Second Gen
141,Mar 04 2017 11:46 AM,"Alexandria, VA",Second Gen
142,Mar 04 2017 10:06 AM,"Sault Ste. Marie, Mi",
143,Mar 04 2017 09:01 AM," Charleston, SC",Second Gen
144,Mar 03 2017 09:22 PM,"Woods Hole, MA",First Gen
145,Mar 03 2017 06:56 PM,Seattle,First Gen
146,Mar 03 2017 01:25 PM,"Charleston, SC",First Gen
147,Feb 23 2017 08:56 AM,newmarket nh,Beta
148,Feb 09 2017 12:34 PM,"Newport, RI",Beta

