Do you use your boat year round?

Respondents,Response Date,"If No, specify months in use:",Categories

1,Nov 10 2017 05:18 PM,April through november,
2,Nov 08 2017 09:31 PM,March-Dec,
3,Nov 08 2017 09:43 AM,April - December,
4,Nov 08 2017 09:13 AM,April to November,
5,Nov 02 2017 08:06 PM,6 months,
6,Nov 02 2017 11:21 AM,April thru September,
7,Nov 02 2017 09:41 AM,May to October ,
8,Nov 02 2017 09:21 AM,April to December,
9,Nov 02 2017 08:24 AM,April through November,
10,Nov 02 2017 07:00 AM,April-December,
11,Nov 02 2017 06:04 AM,May-October,
12,Nov 02 2017 05:00 AM,Apr -Nov,
13,Nov 01 2017 10:35 PM,April -October,
14,Nov 01 2017 05:51 PM,8,
15,Nov 01 2017 05:42 PM,June 1 through September 30,
16,Nov 01 2017 05:14 PM,May-Dec,
17,Nov 01 2017 04:20 PM,April/Nob,
18,Nov 01 2017 09:43 AM,April-November,
19,Nov 01 2017 09:04 AM,March-November,
20,Nov 01 2017 08:28 AM,April through October,
21,Nov 01 2017 07:56 AM,8,
22,Nov 01 2017 07:24 AM,May - November,
23,Nov 01 2017 06:10 AM,May-October,
24,Nov 01 2017 05:07 AM,April thru Oct,
25,Oct 25 2017 11:18 AM,Not in Dec - early March,
26,Aug 01 2017 09:40 PM,June-august,
27,Jul 25 2017 12:29 PM,May - Oct.,
28,Jun 27 2017 02:26 PM,April through September,
29,Jun 27 2017 08:41 AM,May-Nov,
30,Jun 23 2017 09:33 AM,April to October,
31,Jun 09 2017 08:27 AM,March to November,
32,Jun 07 2017 05:56 PM,May to Oct.,
33,Jun 06 2017 12:33 PM,May through September,
34,Jun 04 2017 06:55 PM,May to sept,
35,Jun 03 2017 06:17 PM,May to october,
36,Jun 02 2017 03:05 PM,June-October,
37,Jun 02 2017 01:03 PM,May to late October ,
38,Jun 01 2017 09:57 PM,May through October,
39,Jun 01 2017 09:10 PM,April-November,
40,Jun 01 2017 02:26 PM,outside hurricane season,
41,Jun 01 2017 10:34 AM,May - November,
42,Jun 01 2017 10:22 AM,April-November,
43,Jun 01 2017 09:47 AM,June to September ,
44,May 18 2017 09:53 PM,May- October ,
45,May 18 2017 04:13 PM,April - October,
46,May 16 2017 11:34 AM,June through December ,
47,May 16 2017 06:29 AM,may to november,
48,May 16 2017 12:17 AM,March thru November,
49,May 15 2017 07:25 PM,6 months,
50,May 15 2017 07:23 PM,My Sons vacatios,
51,May 15 2017 05:39 PM,May - November,
52,May 15 2017 05:02 PM,May - Oct,
53,May 07 2017 02:14 PM,May - Oct.,
54,May 02 2017 09:06 AM,May - October,
55,May 01 2017 01:40 PM,May - September,
56,Apr 13 2017 12:56 PM,April thru October,
57,Apr 13 2017 12:17 PM,May October ,
58,Apr 13 2017 10:44 AM,April to October,
59,Apr 13 2017 09:25 AM,May - 0ct,
60,Apr 13 2017 02:51 AM,April through November,
61,Apr 12 2017 10:33 PM,May-October,
62,Apr 12 2017 09:03 PM,April to October,
63,Apr 12 2017 05:07 PM,Six months,
64,Apr 12 2017 01:54 PM,In the US half the year,
65,Apr 12 2017 01:36 PM,May - October,
66,Apr 09 2017 06:58 AM,(Ice-free boating only),
67,Mar 30 2017 08:48 AM,May - November,
68,Mar 29 2017 03:07 PM,July-October,
69,Mar 29 2017 02:30 PM,Summer months,
70,Mar 22 2017 03:11 PM,May to October,
71,Mar 07 2017 04:38 PM,5-11,
72,Mar 07 2017 04:27 PM,Spring summer fall,
73,Mar 05 2017 04:51 PM,May-september,
74,Mar 04 2017 10:25 PM,May to September,
75,Mar 04 2017 09:32 PM,Summer,
76,Mar 04 2017 03:18 PM,May-October ,
77,Mar 04 2017 03:01 PM,May-oct,
78,Mar 03 2017 09:22 PM,May through October,
79,Mar 03 2017 06:56 PM,Summer,
80,Mar 03 2017 05:59 PM,April-November ,
81,Feb 23 2017 08:56 AM,may-October ,
82,Feb 09 2017 12:34 PM,May - September,

