Do you have depth sounding equipment or a fish finder?

Respondents,Response Date,"If so, what model?",Categories

1,Nov 10 2017 05:18 PM,Humming Bird hook 5,
2,Nov 08 2017 09:31 PM,Unsure,
3,Nov 08 2017 06:50 PM,Garmin Echo map 54,
4,Nov 08 2017 09:43 AM,Garmin,
5,Nov 08 2017 09:13 AM,Depth finder unknown brans,
6,Nov 02 2017 08:06 PM,Scarab ghost 165 G,
7,Nov 02 2017 11:21 AM,Standard Horizon depth sounder - model unknowm,
8,Nov 02 2017 09:21 AM,Garmin Chartplotter,
9,Nov 02 2017 08:24 AM,Garmin 740s,
10,Nov 02 2017 07:00 AM,Lowrance hd-7,
11,Nov 02 2017 06:04 AM,B&G,
12,Nov 02 2017 05:00 AM,B&G,
13,Nov 02 2017 12:07 AM,Furuno,
14,Nov 02 2017 12:03 AM,Furuno,
15,Nov 01 2017 10:35 PM,Data Marine ,
16,Nov 01 2017 06:18 PM,Garmin,
17,Nov 01 2017 05:51 PM,SimRad and Raymarine,
18,Nov 01 2017 05:42 PM,Lowrance Hook,
19,Nov 01 2017 05:14 PM,Raymarine,
20,Nov 01 2017 04:22 PM,Garmin GPSMap 541s,
21,Nov 01 2017 01:25 PM,Old Furuno,
22,Nov 01 2017 09:43 AM,Garmin,
23,Nov 01 2017 09:35 AM,Schafer,
24,Nov 01 2017 09:04 AM,Ray marine 60,
25,Nov 01 2017 08:56 AM,"Hummingbird, Matrix 75",
26,Nov 01 2017 08:28 AM,Lowrance Hook 7,
27,Nov 01 2017 07:56 AM,Datamarine,
28,Nov 01 2017 07:24 AM,Garmin echoMap 54cv,
29,Nov 01 2017 06:10 AM,Raymarine,
30,Nov 01 2017 05:07 AM,Garmin 5212,
31,Oct 25 2017 11:18 AM,"We have a depth gauge, nothing fancy just tells us the depth.",
32,Aug 01 2017 09:40 PM,Depth - standard horizon,
33,Jul 25 2017 12:29 PM,Raymarine.  Not sure which model.  Circa 2004.,
34,Jun 27 2017 02:26 PM,Raymarine C70,
35,Jun 27 2017 08:41 AM,Navionics ,
36,Jun 23 2017 09:33 AM,DataMarine ,
37,Jun 09 2017 08:27 AM,Lorance hds5,
38,Jun 07 2017 05:56 PM,Navman,
39,Jun 06 2017 02:40 PM,Lowrance HDS-7 Gen 3 83/200 & LSS-2 455/800,
40,Jun 06 2017 12:33 PM,Raymarine St-40,
41,Jun 02 2017 03:05 PM,Garmin ,
42,Jun 02 2017 01:03 PM,Garmin 4210,
43,Jun 01 2017 09:57 PM,Data marine,
44,Jun 01 2017 09:10 PM,TackTick (Raymarine),
45,Jun 01 2017 04:51 PM,AirMar/Garmin,
46,Jun 01 2017 02:59 PM,Raymarine ST60,
47,Jun 01 2017 02:26 PM,Garmin 300C,
48,Jun 01 2017 10:34 AM,Datamarine depthsounder,
49,Jun 01 2017 10:22 AM,Navman,
50,Jun 01 2017 09:47 AM,Garmin 740s,
51,Jun 01 2017 09:40 AM,"Depth sounder, unsure what make as boat is not here.",
52,Jun 01 2017 09:32 AM,Garmin,
53,May 30 2017 09:35 PM,LOWRANCE HDS 7,
54,May 27 2017 11:28 PM,vexilar sp 200,
55,May 18 2017 09:53 PM,Raymarine Dragonfly,
56,May 18 2017 04:13 PM,Garmin 2-something,
57,May 16 2017 11:34 AM,Lowrance HDS-5,
58,May 16 2017 04:57 AM,Raymarine Es98,
59,May 16 2017 12:17 AM,Raymarine i70,
60,May 15 2017 07:47 PM,Raymarine es128,
61,May 15 2017 07:25 PM,Raymarine 90,
62,May 15 2017 07:23 PM,Do not remember ,
63,May 15 2017 05:39 PM,Raymarine,
64,May 15 2017 05:38 PM,Simrad EV02 with Depth and 3D Structure Scan,
65,May 15 2017 05:38 PM,Raymarine,
66,May 15 2017 05:32 PM,Raymarine es98,
67,May 15 2017 05:02 PM,Raymarine CP570 and Airmar M265HL (CHIRP),
68,May 15 2017 07:24 AM,Simrad EK60,
69,May 02 2017 09:06 AM,Norcross Marine D10D Hawkeye Digital Depth Sounder,
70,May 01 2017 01:40 PM,Garmin,
71,Apr 17 2017 12:37 PM,raymarine,
72,Apr 14 2017 08:31 PM,Depth sounder,
73,Apr 14 2017 05:33 PM,Raymarine Tridata ,
74,Apr 13 2017 12:56 PM,Furuno,
75,Apr 13 2017 12:17 PM,B&g,
76,Apr 13 2017 10:51 AM,B&G,
77,Apr 13 2017 10:44 AM,Older Raymarine Bi-Data,
78,Apr 13 2017 09:25 AM,Garmin,
79,Apr 13 2017 02:51 AM,Raymarine wireless,
80,Apr 12 2017 10:53 PM,Furuno (Airmar Tri),
81,Apr 12 2017 09:07 PM,B&B,
82,Apr 12 2017 09:03 PM,Simrad,
83,Apr 12 2017 05:07 PM,Furuno,
84,Apr 12 2017 03:52 PM,Garmin transducer linked to chart plotter,
85,Apr 12 2017 02:42 PM,Depth sounder is Brooks and Gatehouse Hornet. No fishfinder,
86,Apr 12 2017 01:54 PM,Raymarine ST60,
87,Apr 11 2017 02:13 PM,Garmin EchoMap 50s,
88,Apr 09 2017 06:58 AM,Furuno FE 585,
89,Apr 04 2017 09:46 PM,Garmin,
90,Mar 30 2017 08:48 AM,Furuno NavNet system,
91,Mar 06 2017 03:38 PM,a very cheap and obsolete hummingbird,
92,Mar 04 2017 10:25 PM,Lowrance Mark - 4,
93,Mar 03 2017 09:22 PM,RayMarine suite with ST60 Tri-Data,
94,Mar 03 2017 06:56 PM,Deeper,
95,Mar 03 2017 01:25 PM,Lowrance Hook 5,
96,Mar 03 2017 01:05 PM,Eagle fish easy 320c,

