Do you have a GPS on your vessel?

Respondents,Response Date,"If so, what model?",Categories

1,Nov 10 2017 05:18 PM,Raymarine,
2,Nov 08 2017 09:31 PM,Same,
3,Nov 08 2017 06:50 PM,Garmin Echo map 54,
4,Nov 08 2017 12:45 PM,Garmin,
5,Nov 08 2017 09:43 AM,Garmin,
6,Nov 08 2017 09:13 AM,Garmin older model at least 10 years old,
7,Nov 02 2017 08:06 PM,Vhf handheld radio,
8,Nov 02 2017 11:21 AM,Garmin GPSMAP 620,
9,Nov 02 2017 09:41 AM,Garmin 2716xvs,
10,Nov 02 2017 09:21 AM,Garmin Chartplotter ,
11,Nov 02 2017 08:24 AM,Garmin 740s,
12,Nov 02 2017 07:00 AM,Same,
13,Nov 02 2017 05:00 AM,Garmin,
14,Nov 02 2017 12:07 AM,Furuno,
15,Nov 02 2017 12:03 AM,Furuno,
16,Nov 01 2017 10:35 PM,Garmin ,
17,Nov 01 2017 05:51 PM,SimRad,
18,Nov 01 2017 05:14 PM,Raymarine,
19,Nov 01 2017 04:22 PM,"Garmin GPSMap 541s, Garmin GPSMap 78sc, Furuno GP32",
20,Nov 01 2017 01:25 PM,Garmin 525 & 455,
21,Nov 01 2017 09:43 AM,Garmin,
22,Nov 01 2017 09:04 AM,"Multiple units: Garmin 546, SH VHF 2200, Bad Elf 200/iPad with INavX, SH 870 handheld, back to the backups Magellan handheld in the dithchbag",
23,Nov 01 2017 08:56 AM,"Hummingbird, Matrix 75",
24,Nov 01 2017 08:28 AM,Lowrance Hook 7,
25,Nov 01 2017 07:56 AM,Garmin,
26,Nov 01 2017 07:24 AM,Garmin echoMap 54cvGarmin echoMap 54cv,
27,Nov 01 2017 06:20 AM,Navionics tablet ,
28,Nov 01 2017 06:10 AM,Raymarine,
29,Nov 01 2017 05:07 AM,Garmin ,
30,Oct 25 2017 11:18 AM,Old not great,
31,Aug 01 2017 09:40 PM,Garmin,
32,Jul 25 2017 12:29 PM,Raymarine.  Not sure which model.  Circa 2004.,
33,Jun 27 2017 02:26 PM,Raymarine,
34,Jun 27 2017 08:41 AM,Garmin,
35,Jun 23 2017 09:33 AM,Garmin 546,
36,Jun 09 2017 08:27 AM,Lorance hds5,
37,Jun 07 2017 05:56 PM,Garmin ,
38,Jun 06 2017 02:40 PM,Lowrance HDS-7 Gen 3 w/ Point-1 Antenna,
39,Jun 06 2017 12:33 PM,Garmin echomap 74 dv chirp,
40,Jun 04 2017 06:55 PM,iPhone ,
41,Jun 02 2017 03:05 PM,Garmin,
42,Jun 02 2017 01:03 PM,Garmin 4210,
43,Jun 01 2017 09:57 PM,Faruno,
44,Jun 01 2017 04:51 PM,Garmin,
45,Jun 01 2017 02:59 PM,Raymarine c80,
46,Jun 01 2017 02:26 PM,B&G Zeus 2 MFD with built-in GPS,
47,Jun 01 2017 10:34 AM,Garmin,
48,Jun 01 2017 10:22 AM,Navman,
49,Jun 01 2017 09:47 AM,Garmin 740s,
50,Jun 01 2017 09:40 AM,siTex SAS-300,
51,Jun 01 2017 09:32 AM,Garmin hand held (kayak) 9500 sailboat ,
52,May 30 2017 09:35 PM,LOWRANCE,
53,May 27 2017 11:28 PM,navionics boating hd,
54,May 18 2017 09:53 PM,Raymarine Dragonfly,
55,May 18 2017 04:13 PM,Garmin gps-receiver bunden with B&g sailing instruments,
56,May 16 2017 11:34 AM,Lowrance HDS-5,
57,May 16 2017 04:57 AM,Raymarine Es98,
58,May 16 2017 12:17 AM,Digital Yacht GPS150 DualNav Sensor,
59,May 15 2017 07:47 PM,Raymarine es128,
60,May 15 2017 07:25 PM,Raymarine 90,
61,May 15 2017 07:23 PM,Mfd e95,
62,May 15 2017 05:39 PM,Raymarine,
63,May 15 2017 05:38 PM,Simrad EV02,
64,May 15 2017 05:38 PM,Raymarine ,
65,May 15 2017 05:02 PM,Raymarine eS series,
66,May 15 2017 07:24 AM,Furuno,
67,May 07 2017 02:14 PM,Standard Horizon,
68,May 03 2017 10:34 AM,Ratheon,
69,May 02 2017 09:06 AM,I use my Samsung Galaxy S7,
70,May 01 2017 01:40 PM,Garmin,
71,Apr 17 2017 12:37 PM,garmin,
72,Apr 14 2017 08:31 PM,Garmin,
73,Apr 14 2017 05:33 PM,Raymarine chartplotter,
74,Apr 13 2017 12:56 PM,"multiple - furuno, airmar",
75,Apr 13 2017 12:17 PM,B&g,
76,Apr 13 2017 10:51 AM,B&G,
77,Apr 13 2017 10:44 AM,Garmin,
78,Apr 13 2017 09:25 AM,GArmin,
79,Apr 13 2017 02:51 AM,Garmin 76 handheld,
80,Apr 12 2017 10:53 PM,Furuno,
81,Apr 12 2017 10:33 PM,Garmin,
82,Apr 12 2017 09:07 PM,B&B,
83,Apr 12 2017 09:03 PM,Simrad,
84,Apr 12 2017 05:07 PM,Furuno,
85,Apr 12 2017 03:52 PM,Garmin 7212 for primary,
86,Apr 12 2017 02:42 PM,Furuno GP-32,
87,Apr 12 2017 01:54 PM,"Garmin, Standard Marine, Apple",
88,Apr 11 2017 02:13 PM,Garmin EchoMap 50s,
89,Apr 09 2017 06:58 AM,iPad,
90,Mar 30 2017 08:48 AM,Furuno Navnet,
91,Mar 29 2017 03:07 PM,Cell phone,
92,Mar 07 2017 04:27 PM,Navionics ,
93,Mar 06 2017 03:38 PM,a very cheap hummingbird unit,
94,Mar 03 2017 09:22 PM,Garmin GPS (part of our Garmin 4012 Chart Plotter),
95,Mar 03 2017 06:56 PM,iPad,
96,Mar 03 2017 01:25 PM,Lowrance Hook 5,

