Do you have an AIS unit?

Respondents,Response Date,"If Yes, which class of AIS?",Categories

1,Nov 08 2017 12:45 PM,B,
2,Nov 08 2017 09:43 AM,Raymarine,
3,Nov 02 2017 11:21 AM,Uniden Oceanus DSC,
4,Nov 02 2017 09:41 AM,Class a,
5,Nov 02 2017 05:00 AM,B,
6,Nov 01 2017 06:10 PM,Class B Receiver,
7,Nov 01 2017 09:04 AM,SH 2200VHF/GPS/AIS receiver. No transponder,
8,Nov 01 2017 08:56 AM,No service in Arizona,
9,Nov 01 2017 05:07 AM,Receiver only,
10,Jun 23 2017 09:33 AM,Receive only,
11,Jun 06 2017 02:40 PM,Receive-Only,
12,Jun 06 2017 12:33 PM,reciever only in Standard VHF,
13,Jun 02 2017 03:05 PM,Recreational?,
14,Jun 01 2017 09:10 PM,B,
15,Jun 01 2017 04:51 PM,Vesper 8000 Class B,
16,Jun 01 2017 02:26 PM,Class B,
17,Jun 01 2017 09:40 AM,B - full transponder,
18,May 16 2017 12:17 AM,Receive only,
19,May 15 2017 07:23 PM,650 duplex,
20,May 15 2017 05:38 PM,B,
21,May 15 2017 07:24 AM,Sperry,
22,Apr 14 2017 08:31 PM,B,
23,Apr 13 2017 12:56 PM,B Transciever,
24,Apr 13 2017 12:17 PM,B&g,
25,Apr 12 2017 10:53 PM,B,
26,Apr 12 2017 09:07 PM,Send and Receive A,
27,Apr 12 2017 09:03 PM,Not sure,
28,Apr 12 2017 05:07 PM,Comar,
29,Apr 12 2017 03:52 PM,Class B send and receive,
30,Apr 12 2017 02:42 PM,Receive only.,
31,Apr 12 2017 01:54 PM,Class B reciever only,
32,Mar 30 2017 08:48 AM,Class B,
33,Mar 04 2017 10:06 AM,Not sure,

