What do you use for navigation? (select all that apply)

Respondents,Response Date,"Please specify which app, software, or plotter you use:",Categories

1,Nov 08 2017 09:31 PM,Same,
2,Nov 08 2017 06:50 PM,Garmin Echo map 54,
3,Nov 08 2017 12:45 PM,Coastal Explorer and Navionics,
4,Nov 08 2017 09:43 AM,"Navionics, Garmin plotter",
5,Nov 05 2017 09:07 AM,Navionics on iPad ,
6,Nov 02 2017 09:41 AM,Garmin,
7,Nov 02 2017 07:00 AM,Lowrance,
8,Nov 02 2017 05:00 AM,OpenCPN on Raspberry Pi and Laptop & Tablet,
9,Nov 02 2017 12:07 AM,Navionics,
10,Nov 02 2017 12:03 AM,navionics,
11,Nov 01 2017 10:35 PM,Garmin,
12,Nov 01 2017 05:51 PM,"Skipper, SimRad",
13,Nov 01 2017 05:42 PM,Blue Chart,
14,Nov 01 2017 04:22 PM,Garmin BlueChart,
15,Nov 01 2017 04:20 PM,No real charts for lake Powell ,
16,Nov 01 2017 09:04 AM,"INavX w/Bad Elf, Garmin 546",
17,Nov 01 2017 08:56 AM,There are no NOAA charts of local lakes.,
18,Nov 01 2017 07:56 AM,Navionics,
19,Nov 01 2017 07:24 AM,Garmin echoMap 54cv,
20,Nov 01 2017 06:20 AM,Navionics ,
21,Nov 01 2017 06:10 AM,Open CPN; I sail GPS; Raymarine (Navionics),
22,Nov 01 2017 05:07 AM,Garmin,
23,Oct 25 2017 11:18 AM,"Navionics paid app, chart book",
24,Aug 01 2017 09:40 PM,Navionics,
25,Jun 27 2017 02:26 PM,Navionics,
26,Jun 23 2017 09:33 AM,"Garmin homeport, MX mariner and Marine Navigator",
27,Jun 09 2017 08:27 AM,Navionics plus,
28,Jun 06 2017 02:40 PM,Navionics Boating / Navionics+ (both US & Canada),
29,Jun 06 2017 12:33 PM,Garmin echomap 74 dv,
30,Jun 04 2017 06:55 PM,Navionics,
31,Jun 03 2017 06:17 PM,Harmon handheld 276 ,
32,Jun 02 2017 03:05 PM,"Garmin, various iPad apps",
33,Jun 01 2017 09:57 PM,iNavx,
34,Jun 01 2017 09:10 PM,"Garmin 7000, Garmin Mapsource, OpenCPN",
35,Jun 01 2017 04:51 PM,Garmin 7610,
36,Jun 01 2017 02:26 PM,OpenCPN and B&G Zeus 2,
37,Jun 01 2017 10:34 AM,Garmin 77x,
38,Jun 01 2017 10:22 AM,"iPad: iNavX, plotter: Navman 6200",
39,Jun 01 2017 09:40 AM,Apps:MX Mariner and Navionics. Plotter:SiTex SAS-300 (C-Map charts),
40,Jun 01 2017 09:32 AM,Garmin ,
41,May 30 2017 09:35 PM,Navionics Hotmaps Platinum,
42,May 27 2017 11:28 PM,ipad 3 with navionics boating hd and vexilar sp 200,
43,May 18 2017 09:53 PM,Navionics,
44,May 18 2017 04:13 PM,"Na ioniserende app, opencpn with German Paper charts",
45,May 16 2017 11:34 AM,Navionics HD,
46,May 16 2017 04:57 AM,Raymarine Es98,
47,May 16 2017 12:17 AM,Raymarine  RL70c  & OpenCPN &  ,
48,May 15 2017 07:47 PM,Raymarine es128 navionics,
49,May 15 2017 07:26 PM,"Navionics,  raymarine",
50,May 15 2017 07:25 PM,Raymarine 90,
51,May 15 2017 05:39 PM,Raymarine and navionics,
52,May 15 2017 05:38 PM,Simrad EV02,
53,May 15 2017 05:38 PM,Navionics ,
54,May 15 2017 05:32 PM, Navionics ,
55,May 15 2017 05:02 PM,Navionics,
56,May 15 2017 07:24 AM,TRANSAS ECDIS,
57,May 07 2017 02:14 PM,Standard Horizon w/ CMap,
58,May 02 2017 09:06 AM,Navionics,
59,May 01 2017 01:40 PM,Google Maps,
60,Apr 14 2017 08:31 PM,"Garmin blue charts, active captain, garmin chart plotter (2)",
61,Apr 14 2017 05:33 PM,Raymarine and MX Mariner.,
62,Apr 13 2017 12:56 PM,"Nobeltec, Navionics",
63,Apr 13 2017 12:17 PM,Navionics c- map B&g ,
64,Apr 13 2017 10:44 AM,Navionics on the tablet,
65,Apr 13 2017 02:51 AM,Navionics App,
66,Apr 12 2017 10:53 PM,"Furuno NavNet VX2, OpenCPN",
67,Apr 12 2017 10:33 PM,"Avionics on I Pad, Garmin",
68,Apr 12 2017 09:07 PM,B&B/Navionics/CMap/Explorer/Imray,
69,Apr 12 2017 03:52 PM,Garmin 7212 as primary,
70,Apr 12 2017 02:42 PM,"Open CPN on the laptop, Navionics on the iPad",
71,Apr 12 2017 01:54 PM,Navionics on an iPad,
72,Apr 09 2017 06:58 AM,Nobeltec (laptop) Navionics (iPad),
73,Mar 30 2017 08:48 AM,Nobeltec Trident on networked computers,
74,Mar 29 2017 02:30 PM,Hand held GPS,
75,Mar 07 2017 04:38 PM,Navionics,
76,Mar 07 2017 04:29 PM,Navionics App,
77,Mar 07 2017 04:27 PM,Navionics,
78,Mar 03 2017 09:22 PM,"Chart Plotter (Garmin 4012) primarily, paper charts as back-up",
79,Mar 03 2017 01:25 PM,Nautic insight,
80,Mar 03 2017 01:05 PM,Stay in local waters that have had experience in,
81,Feb 23 2017 08:56 AM,free charts ,
82,Feb 09 2017 12:34 PM,Navionics,

