Do you pay for your navigation service?

Respondents,Response Date,How much?,Categories

1,Nov 08 2017 12:45 PM,Initial purchase of applications $50-$100,
2,Nov 08 2017 09:43 AM,$24.99 annual,
3,Nov 05 2017 09:07 AM,$50/year,
4,Nov 02 2017 11:21 AM,Approx $99 per updated map for my Garmin GPSMAP 620,
5,Nov 01 2017 06:18 PM,Varies,
6,Nov 01 2017 09:04 AM,App cost $25,
7,Nov 01 2017 07:56 AM,$10,
8,Nov 01 2017 07:54 AM,$10/year,
9,Nov 01 2017 06:20 AM,$49/ year ,
10,Oct 25 2017 11:18 AM,50/year I think,
11,Jun 23 2017 09:33 AM,$10,
12,Jun 09 2017 08:27 AM,20.00,
13,Jun 06 2017 02:40 PM,$150/year,
14,Jun 04 2017 06:55 PM,$20 per year,
15,Jun 01 2017 09:40 AM,$179/year for software,
16,May 30 2017 09:35 PM,9.95 annualf or phone app and $199. for the card,
17,May 27 2017 11:28 PM,"$ 55 first year, $ 25 after",
18,May 18 2017 09:53 PM,$5 app purchase,
19,May 16 2017 11:34 AM,$79 one time fee,
20,May 15 2017 07:47 PM,$99 yr,
21,May 15 2017 07:26 PM,~$100,
22,May 15 2017 07:23 PM,100 yr aprox ,
23,May 15 2017 05:39 PM,25.00,
24,May 15 2017 05:38 PM,Navionics Platinum Charts- $250,
25,May 15 2017 05:32 PM,$129 yr,
26,May 15 2017 05:02 PM,99 per year,
27,May 15 2017 07:24 AM,"~7,000-10,000 a year",
28,May 07 2017 02:14 PM,CMap $68. per year for chip,
29,May 02 2017 09:06 AM,One time $9.99,
30,Apr 13 2017 12:17 PM,100/yr,
31,Apr 13 2017 10:44 AM,$75/year,
32,Apr 12 2017 09:03 PM,25/yr,
33,Apr 12 2017 03:56 PM,$90 / year for annually updated chart chip,
34,Apr 12 2017 02:42 PM,Navionics is around $50.00 depending on the area.,
35,Apr 12 2017 01:54 PM,$50 per very large chart area,
36,Mar 07 2017 04:27 PM,15$ total,
37,Feb 09 2017 12:34 PM,App cost $19.99,

